step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
13	ISS00	common_area	49.2	51.88	47.9	false	
13	ISS01	crew_quarters	28.24	33.84	65.6	true	
13	ISS02	common_area	45.78	48.55	62.0	false	
13	ISS03	common_area	52.66	55.01	80.9	false	CONF02
13	ISS04	common_area	50.53	48.02	38.2	false	
13	ISS05	lab_module	70.95	51.44	55.0	false	
13	ISS06	common_area	54.38	50.85	43.7	false	
13	ISS07	cupola	48.33	24.46	60.5	false	
13	ISS08	common_area	49.75	52.03	57.4	false	
13	ISS09	common_area	52.49	47.91	62.4	false	CONF02
14	ISS00	common_area	49.86	52.04	40.0	false	
14	ISS01	crew_quarters	27.94	33.39	53.0	false	
14	ISS02	common_area	45.54	50.0	45.9	false	
14	ISS03	common_area	54.15	53.87	51.6	false	REPB02
14	ISS04	common_area	49.86	47.96	29.3	false	
14	ISS05	common_area	47.95	52.53	48.9	false	
14	ISS06	common_area	54.42	49.38	55.8	false	
14	ISS07	cupola	47.68	25.12	53.1	false	
14	ISS08	common_area	50.43	52.0	63.0	false	
14	ISS09	common_area	51.68	47.21	32.7	false	REPB02
15	ISS00	common_area	50.53	51.98	55.2	false	
15	ISS01	crew_quarters	27.51	33.06	58.5	true	
15	ISS02	common_area	45.78	51.45	56.1	false	
15	ISS03	common_area	55.18	52.31	47.4	false	REPB02
15	ISS04	common_area	49.2	48.12	47.6	false	
15	ISS05	common_area	48.89	53.06	52.7	false	
15	ISS06	common_area	53.98	47.97	51.0	false	
15	ISS07	cupola	47.27	25.97	55.8	false	
15	ISS08	common_area	51.05	51.75	50.9	false	
15	ISS09	common_area	50.68	46.82	36.1	false	REPB02
16	ISS00	common_area	51.14	51.7	61.7	false	
16	ISS01	crew_quarters	27.0	32.89	55.3	false	
16	ISS02	common_area	46.48	52.75	53.2	false	
16	ISS03	common_area	55.65	50.49	71.8	false	
16	ISS04	common_area	48.63	48.48	52.1	false	
16	ISS05	common_area	49.94	53.25	45.1	false	
16	ISS06	common_area	53.1	46.79	41.2	false	
16	ISS07	cupola	47.17	26.9	40.1	false	
16	ISS08	common_area	51.57	51.32	46.7	false	
16	ISS09	common_area	49.6	46.77	47.1	false	
17	ISS00	common_area	51.63	51.23	43.0	false	
17	ISS01	crew_quarters	26.47	32.9	63.3	true	
17	ISS02	common_area	47.57	53.74	71.8	false	
17	ISS03	common_area	55.5	48.63	53.2	false	
17	ISS04	common_area	48.21	49.01	56.3	false	
17	ISS05	common_area	51.01	53.1	55.3	false	
17	ISS06	common_area	51.89	45.95	45.6	false	
