step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
12	ISS09	exercise_area	52.03	72.47	57.6	false	
13	ISS00	common_area	49.2	51.88	59.3	false	
13	ISS01	common_area	52.97	48.68	50.9	false	
13	ISS02	common_area	45.78	48.55	72.6	false	REPA01
13	ISS03	common_area	52.66	55.01	66.5	false	CONF02
13	ISS04	common_area	50.53	48.02	44.7	false	
13	ISS05	common_area	47.24	51.72	50.2	false	
13	ISS06	common_area	54.38	50.85	56.4	false	
13	ISS07	common_area	46.67	45.41	55.3	false	REPA01
13	ISS08	crew_quarters	26.63	35.52	55.3	false	
13	ISS09	common_area	52.49	47.91	62.4	false	CONF02
14	ISS00	common_area	49.86	52.04	39.7	false	
14	ISS01	common_area	52.38	47.78	50.9	false	
14	ISS02	common_area	45.54	50.0	51.0	false	
14	ISS03	common_area	54.15	53.87	79.6	false	CONF02
14	ISS04	common_area	49.86	47.96	38.0	false	
14	ISS05	common_area	47.95	52.53	55.8	false	
14	ISS06	common_area	54.42	49.38	45.6	false	
14	ISS07	common_area	45.35	46.75	50.1	false	
14	ISS08	crew_quarters	26.96	35.5	50.0	false	
14	ISS09	common_area	51.68	47.21	51.2	false	CONF02
15	ISS00	common_area	50.53	51.98	52.5	false	
15	ISS01	common_area	51.53	47.13	57.6	false	
15	ISS02	common_area	45.78	51.45	71.0	false	
15	ISS03	common_area	55.18	52.31	77.6	false	CONF02
15	ISS04	common_area	49.2	48.12	51.8	false	
15	ISS05	common_area	48.89	53.06	50.1	false	
15	ISS06	common_area	53.98	47.97	55.2	false	
15	ISS07	common_area	44.55	48.44	53.7	false	
15	ISS08	common_area	51.05	51.75	45.7	false	
15	ISS09	common_area	50.68	46.82	59.5	false	CONF02
16	ISS00	common_area	51.14	51.7	50.6	false	
16	ISS01	common_area	50.51	46.79	59.9	false	
16	ISS02	common_area	46.48	52.75	59.2	false	
16	ISS03	common_area	55.65	50.49	70.5	false	REPA02
16	ISS04	common_area	48.63	48.48	49.5	false	
16	ISS05	common_area	49.94	53.25	57.0	false	
16	ISS06	common_area	53.1	46.79	56.7	false	
16	ISS07	common_area	44.33	50.3	39.3	false	
16	ISS08	common_area	51.57	51.32	55.4	false	
16	ISS09	common_area	49.6	46.77	31.4	false	REPA02
17	ISS00	common_area	51.63	51.23	59.7	false	
17	ISS01	common_area	49.43	46.79	56.2	false	
17	ISS02	common_area	47.57	53.74	69.2	false	
17	ISS03	common_area	55.5	48.63	66.3	false	REPA02
17	ISS04	common_area	48.21	49.01	54.1	false	
17	ISS05	hab_module	27.59	52.58	64.4	false	
17	ISS06	common_area	51.89	45.95	51.1	false	
17	ISS07	common_area	44.74	52.13	41.5	false	
17	ISS08	common_area	51.91	50.73	52.5	false	
17	ISS09	common_area	48.57	47.07	32.7	false	REPA02
18	ISS00	common_area	51.95	50.63	67.8	false	
18	ISS01	common_area	48.42	47.15	64.0	false	
18	ISS02	common_area	48.92	54.33	58.1	false	
18	ISS03	common_area	54.76	46.91	70.4	false	REPA02
18	ISS04	common_area	47.99	49.64	48.4	false	
18	ISS05	hab_module	28.38	52.17	64.1	false	
18	ISS06	common_area	50.47	45.56	37.7	false	
18	ISS07	common_area	45.72	53.72	56.3	false	
18	ISS08	common_area	52.04	50.07	52.7	false	
18	ISS09	common_area	47.7	47.7	49.6	false	REPA02
19	ISS00	common_area	52.05	49.96	52.0	false	
19	ISS01	common_area	47.58	47.82	62.0	false	
19	ISS02	common_area	50.39	54.45	59.4	false	
19	ISS03	common_area	53.49	45.53	63.7	false	
19	ISS04	common_area	47.98	50.32	46.1	false	
19	ISS05	hab_module	29.0	51.52	65.9	false	
19	ISS06	common_area	49.0	45.65	59.5	false	
19	ISS07	common_area	47.16	54.91	43.8	false	
19	ISS08	common_area	51.96	49.4	59.7	false	
19	ISS09	common_area	47.07	48.57	44.1	false	
20	ISS00	common_area	51.92	49.3	52.0	false	
20	ISS01	common_area	47.0	48.73	68.6	false	
20	ISS02	common_area	51.82	54.08	68.1	false	CONF03
20	ISS03	common_area	51.85	44.64	72.9	false	
20	ISS04	common_area	48.19	50.96	57.6	false	
